Description,Features,Keywords,Parent_sku,Sku,Specs,Title,Variations,Warning,file_urls,image_name,image_urls,images
"The DEWALT RECIP Safety Glass provides excellent protection with its comfortable, lightweight frame and adjustable temples.",,,products-dewalt-dpg102-recip--safety-glass,,,DEWALT DPG102 Recip Safety Glass,"['dpg102-2d','dpg102-1d','dpg102-9d']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,DEWALT DPG102 Recip Safety Glass,https://images.salsify.com/image/upload/s--muU8mJib--/w_636%2Cq_65/fl_attachment/hcdcfauny7rb1quflbc4.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--muU8mJib--/w_636%2Cq_65/fl_attachment/hcdcfauny7rb1quflbc4.jpg', 'path': 'DEWALT DPG102 Recip Safety Glass.jpg', 'checksum': 'de705ebc3b9351203cf9030eb5d0ea73', 'status': 'downloaded'}]"
The DEWALT DC Safety Glass features dual injected rubber in the frame and adjustable temples to provide dual comfort. This safety glass meets ballistic testing standards and exceeds ANSI Z87.1+ standards. 99.9% UVA/UVB protection.,,,products-dewalt-dpg55-dc--safety-glass,,,DEWALT DPG55 DC Safety Glass,"['dpg55-11d','dpg55-2d','dpg55-6d','dpg55-9d','dpg55-1d']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,DEWALT DPG55 DC Safety Glass,https://images.salsify.com/image/upload/s--TsADegOC--/w_636%2Cq_65/fl_attachment/kn5z5b2vxqu7rgnznnmu.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--TsADegOC--/w_636%2Cq_65/fl_attachment/kn5z5b2vxqu7rgnznnmu.jpg', 'path': 'DEWALT DPG55 DC Safety Glass.jpg', 'checksum': '0dd1db7c8627c492354180e3d11cbf94', 'status': 'downloaded'}]"
"The DEWALT DPG106 SPECTOR Safety Glass employs new technology to mold a magnifier into the lens without creating a hard line from regular strength to your needed diopter. A vented half-frame helps reduce fogging, while a rubber nosepiece and temples offer a non-slip, comfortable fit all day.",,,products-dewalt--dpg106-spector--bifocal-safety-glass,,,DEWALT DPG106 Spector Bifocal Safety Glass,"['dpg106-125d','dpg106-115d','dpg106-120d']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,DEWALT DPG106 Spector Bifocal Safety Glass,https://images.salsify.com/image/upload/s--AnrP_zy1--/w_636%2Cq_65/fl_attachment/she11k7lhgrqiwmsf8ym.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--AnrP_zy1--/w_636%2Cq_65/fl_attachment/she11k7lhgrqiwmsf8ym.jpg', 'path': 'DEWALT DPG106 Spector Bifocal Safety Glass.jpg', 'checksum': 'c8a5c16806ce44a0896bfbfc23d854d1', 'status': 'downloaded'}]"
"The DEWALT DPG84 Insulator Protective Eyewear is designed for construction, manufacturing, and lawn & garden workers who dont have time for goggles that interfere with their headgear or fog up during strenuous tasks. This low-profile goggle features a premium anti-fog and anti-scratch coating to help workers see clearly. A soft rubber gasket creates a comfortable seal against splash, droplets, dust, and debris, providing for a D3 and D4 rating. An adjustable cloth head strap provides a custom, secure fit.",,,products-dewalt-dpg84-insulator--protective-eyewear,,,DEWALT DPG84 Insulator Protective Eyewear,['dpg84-13d'], WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,DEWALT DPG84 Insulator Protective Eyewear,https://images.salsify.com/image/upload/s--N9Kb-fH5--/w_636%2Cq_65/fl_attachment/yb9wuj0wvdyvaegpgy8t.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--N9Kb-fH5--/w_636%2Cq_65/fl_attachment/yb9wuj0wvdyvaegpgy8t.jpg', 'path': 'DEWALT DPG84 Insulator Protective Eyewear.jpg', 'checksum': 'f791c87974f69cc28da4558e3aadc43f', 'status': 'downloaded'}]"
"The wrap-around design of the DEWALT Renovator provides superior protection, and the innovative TPR padded brow guard prevents jobsite debris falling behind the lens.",,,products-dewalt-dpg108-renovator--premium-safety-eyewear,,,DEWALT DPG108 Renovator Premium Safety Eyewear,"['dpg108-11d','dpg108-1d','dpg108-9d','dpg108-2d']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,DEWALT DPG108 Renovator Premium Safety Eyewear,https://images.salsify.com/image/upload/s--r-ViQ_I_--/w_636%2Cq_65/fl_attachment/l85adheieaztelxnurlw.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--r-ViQ_I_--/w_636%2Cq_65/fl_attachment/l85adheieaztelxnurlw.jpg', 'path': 'DEWALT DPG108 Renovator Premium Safety Eyewear.jpg', 'checksum': '0593909e6104ac924a998ce56a189aaa', 'status': 'downloaded'}]"
Description,Features,Keywords,Parent_sku,Sku,Specs,Title,Variations,Warning,file_urls,image_name,image_urls,images
"The stylish design of the full frame Crossfire Cumulus is designed for maximum protection. The soft, rubber nose piece allows for all day comfort and the dual mold rubber temples provide grip for better stability.",,,products-crossfire-cumulus-premium-safety-eyewear,,,Crossfire Cumulus Premium Safety Eyewear,"['412215','41291','411432','41285','41626']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,Crossfire Cumulus Premium Safety Eyewear,https://images.salsify.com/image/upload/s--7soh6OTv--/w_636%2Cq_65/fl_attachment/ipgv90vlnmo4ptn66wym.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--7soh6OTv--/w_636%2Cq_65/fl_attachment/ipgv90vlnmo4ptn66wym.jpg', 'path': 'Crossfire Cumulus Premium Safety Eyewear.jpg', 'checksum': '6736c2d550f37f959d89e228ca8feb7e', 'status': 'downloaded'}]"
The sporty and lightweight design of the Crossfire Talon Bifocal Safety Glass was created for a great fit and ease of use in diverse environments. This style features bifocals in clear and smoke lenses.,,,products-crossfire-talon-bifocal-safety-eyewear,,,Crossfire Talon Bifocal Safety Eyewear,"['12420','12425','12115','12120','12125','12415']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,Crossfire Talon Bifocal Safety Eyewear,https://images.salsify.com/image/upload/s--P80-BXgh--/w_636%2Cq_65/fl_attachment/ujcyfq2wqav4q5zu4lsn.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--P80-BXgh--/w_636%2Cq_65/fl_attachment/ujcyfq2wqav4q5zu4lsn.jpg', 'path': 'Crossfire Talon Bifocal Safety Eyewear.jpg', 'checksum': '98f7afce8a9ed099d4373aa5476e7525', 'status': 'downloaded'}]"
The sporty and lightweight design of the Crossfire Talon Safety Glass was created for a great fit and ease of use in diverse environments.,,,products-crossfire-talon-performance-safety-eyewear,,,Crossfire Talon Performance Safety Eyewear,"['119','124','121']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,Crossfire Talon Performance Safety Eyewear,https://images.salsify.com/image/upload/s--ryY29OZ9--/w_636%2Cq_65/fl_attachment/bgdjrjgb5obiilwlchio.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--ryY29OZ9--/w_636%2Cq_65/fl_attachment/bgdjrjgb5obiilwlchio.jpg', 'path': 'Crossfire Talon Performance Safety Eyewear.jpg', 'checksum': '785700eb68087967d7aaa0bde730439c', 'status': 'downloaded'}]"
"Count on the Crossfire Sniper to perform on the job. Designed with the sportsman in mind, this style transitions easily from work environments to recreation! Lateral protection compliance H for medium to small faces.",,,products-crossfire-sniper-bifocal-safety-eyewear,,,Crossfire Sniper Bifocal Safety Eyewear,"['92420','92425','92115','92120','92125','92415']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,Crossfire Sniper Bifocal Safety Eyewear,https://images.salsify.com/image/upload/s--t4PWE238--/w_636%2Cq_65/fl_attachment/wqfn3tr8gjqgchlegr3d.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--t4PWE238--/w_636%2Cq_65/fl_attachment/wqfn3tr8gjqgchlegr3d.jpg', 'path': 'Crossfire Sniper Bifocal Safety Eyewear.jpg', 'checksum': 'ba92dbd331d94318b57de4d76e8ad6bc', 'status': 'downloaded'}]"
